© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cardiovascular Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Postmyocardial infarction syndrome	1.06E-02	AGTR2	1
Respiratory Disease	Respiratory failure	1.08E-02	EDN3,GABRA4	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Disorder of coronary artery	1.08E-02	AGTR2,APOC3,GABRA4,mir-126	4
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	Benign neoplasm of endocrine gland	1.09E-02	BRINP3,FOSB,UCP1	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Acute coronary syndrome	1.19E-02	AGTR2,CSF3,GABRA4	3
Cancer,Organismal Injury and Abnormalities	Mucosal melanoma	1.22E-02	ADGRD2,KRT27,OTC,TCN1,VSTM2A	5
Embryonic Development	Frequency of embryoid body cells	1.27E-02	CSF3	1
Hematological Disease,Immunological Disease	Febrile neutropenia	1.27E-02	CSF3	1
Cellular Development,Cellular Growth and Proliferation,Tissue Development	Colony formation of stem cells	1.27E-02	PROK1	1
Cell Death and Survival	Killing of Enterococcus faecalis	1.27E-02	AZU1	1
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Quantity of fat	1.27E-02	UCP1	1
Hematological System Development and Function,Hematopoiesis,Inflammatory Response,Tissue Morphology	Quantity of colony-forming granulocyte-macrophages	1.27E-02	CSF3	1
Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development	Lactation	1.27E-02	CSN2	1
Connective Tissue Development and Function,Hematological System Development and Function,Organismal Development,Tissue Morphology	Quantity of PBMCs	1.27E-02	CSF3	1
Carbohydrate Metabolism,Small Molecule Biochemistry	Signaling of inositol phosphate	1.27E-02	EDN3	1
Cardiovascular Disease,Organismal Injury and Abnormalities	New York Heart Association class III heart failure	1.27E-02	AGTR2	1
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	Aldosterone producing adrenocortical adenoma	1.28E-02	FOSB,UCP1	2
Neurological Disease,Organismal Injury and Abnormalities	Epileptic seizure	1.43E-02	FOSB,GABRA4,NR4A1	3
Nutritional Disease	Severe obesity	1.44E-02	GABRA4,NPY2R	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Stable disease stage heart failure	1.48E-02	AGTR2	1
Cellular Movement,Nervous System Development and Function	Migration of neuroglia	1.48E-02	AZU1	1
Cellular Development,Connective Tissue Development and Function,Tissue Development	Differentiation of brown adipocytes	1.48E-02	VSTM2A	1
Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Respiratory Disease	Haddad syndrome	1.48E-02	EDN3	1
Cell Death and Survival	Killing of Staphylococcus aureus	1.48E-02	AZU1	1
Antimicrobial Response,Inflammatory Response	Antibacterial response	1.57E-02	AZU1,LALBA	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Atherosclerosis	1.65E-02	APOC3,FOSB,GABRA4,mir-126	4
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of neutrophils	1.67E-02	AZU1,EDN3	2
Connective Tissue Development and Function,Tissue Morphology	Quantity of connective tissue	1.67E-02	CSF3,UCP1	2
Organismal Injury and Abnormalities	Benign lesion	1.68E-02	BRINP3,EDN3,FOSB,GABRA4,NR4A1,TCN1,UCP1	7
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Colony formation of colony-forming units granulocytes	1.68E-02	PROK1	1
Cellular Movement	Chemotaxis of melanoma cell lines	1.68E-02	mir-126	1
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Import of cholesterol	1.68E-02	APOC3	1
Cardiovascular System Development and Function,Hematological System Development and Function	Mean arterial pressure	1.68E-02	AGTR2	1
Cell Signaling,Post-Translational Modification	Activation of protein kinase C	1.68E-02	AZU1	1
Cellular Growth and Proliferation,Organismal Development	Growth of Candida albicans	1.68E-02	AZU1	1
Cell Death and Survival	Killing of Pseudomonas aeruginosa	1.68E-02	AZU1	1
Nutritional Disease	Body mass index	1.70E-02	NPY2R,UCP1	2
Cellular Movement	Chemotaxis	1.74E-02	AZU1,EDN3,mir-126,NR4A1	4
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Ischemic cardiomyopathy	1.84E-02	AGTR2,mir-126	2
Cardiovascular System Development and Function,Embryonic Development,Organismal Development,Tissue Development	Morphogenesis of outflow tract	1.89E-02	NPY2R	1
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development	Proliferation of CD34+ cells	1.89E-02	CSF3	1
Tissue Morphology	Quantity of lymphoma cell lines	1.89E-02	CSF3	1
Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Autosomal dominant myofibrillar myopathy	1.89E-02	DES	1
Cell Cycle	G0/G1 phase transition of leukemia cell lines	1.89E-02	CSF3	1
Cell Death and Survival	Apoptosis of CD34+ cells	1.89E-02	CSF3	1
Cellular Growth and Proliferation	Proliferation of bone marrow cell lines	1.89E-02	CSF3	1
Cellular Development,Embryonic Development,Organismal Development	Differentiation of embryoid body cells	1.89E-02	CSF3	1
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Secretion of triacylglycerol	1.89E-02	APOC3	1
Cardiovascular System Development and Function,Cell Morphology,Cellular Development,Organismal Development,Tissue Development	Tubulation of vascular endothelial cells	1.91E-02	mir-126,NR4A1	2
Inflammatory Response	Inflammatory response	2.07E-02	AZU1,EDN3,GC,mir-126	4
Cardiovascular Disease,Organismal Injury and Abnormalities	Failure of heart	2.07E-02	AGTR2,GABRA4,PROK1	3
Small Molecule Biochemistry	Efficacy of cisplatin	2.10E-02	CGA	1
Cancer,Organismal Injury and Abnormalities,Tumor Morphology	Regression of tumor	2.10E-02	NR4A1	1
Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction	Attachment of endothelial cells	2.10E-02	TFPI2	1
Amino Acid Metabolism,Cell Signaling	Urea cycle	2.10E-02	OTC	1
Cell Death and Survival	Apoptosis of bone marrow cells	2.10E-02	CSF3	1
Cellular Assembly and Organization,Cellular Function and Maintenance,Tissue Development	Formation of intermediate filaments	2.10E-02	DES	1
Molecular Transport	Secretion of molecule	2.11E-02	APOC3,CGA,EDN3	3
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Skin cancer	2.11E-02	ADAM18,ADGRD2,AGTR2,AZU1,BRINP3,CGA,CRCT1,CSN1S1,CSN2,DCDC2C,DES,EDN3,FOSB,GABRA4,GC,GDF9,HOXB8,KRT27,KRT77,LALBA,MUC7,NELL1,NPY2R,NR4A1,OPRPN,OTC,PAGE2/PAGE2B,SLC22A7,TCN1,TEDDM1,TFF1,TFPI2,TRDN,VSTM2A	34
Organismal Development	Development of multicellular organism	2.17E-02	CSF3,EDN3	2
Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism	Metabolism of terpenoid	2.25E-02	APOC3,CGA,GC	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Coronary artery disease	2.27E-02	APOC3,GABRA4,mir-126	3
Cellular Movement,Hematopoiesis,Immune Cell Trafficking,Inflammatory Response	Migration of bone marrow cells	2.31E-02	CSF3	1
Cellular Growth and Proliferation,Organismal Development	Proliferation of E. coli	2.31E-02	AZU1	1
Neurological Disease,Organismal Injury and Abnormalities	Reye syndrome	2.31E-02	OTC	1
Cardiovascular Disease,Neurological Disease,Organismal Injury and Abnormalities	Ischemic stroke	2.32E-02	AGTR2,GABRA4	2
Cellular Development,Connective Tissue Development and Function,Tissue Development	Differentiation of connective tissue cells	2.39E-02	FOSB,NELL1,VSTM2A	3
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities	Familial arrhythmia	2.48E-02	DES,TRDN	2
Cellular Movement	Migration of glioma cells	2.52E-02	CSF3	1
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Arrhythmogenic right ventricular dysplasia familial 9	2.52E-02	DES	1
Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Dilated cardiomyopathy 1S	2.52E-02	DES	1
Cell Death and Survival	Killing of E. coli	2.52E-02	AZU1	1
Cardiovascular Disease,Hematological Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Familial combined hyperlipidemia	2.52E-02	APOC3	1
Molecular Transport	Transport of organic anion	2.52E-02	SLC22A7	1
Cardiovascular Disease,Cardiovascular System Development and Function,Cell Morphology,Cellular Function and Maintenance,Organismal Injury and Abnormalities,Tissue Morphology	Permeability of microvascular endothelial cells	2.52E-02	PROK1	1
Cellular Development,Cellular Growth and Proliferation,Connective Tissue Development and Function,Hematological System Development and Function,Hematopoiesis,Organismal Development,Tissue Development	Colony formation of erythroid cells	2.52E-02	CSF3	1
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Activation of myeloid cells	2.52E-02	AZU1,GC	2
Infectious Diseases,Respiratory Disease	Infection of respiratory tract	2.68E-02	AGTR2,GABRA4,TCN1	3
Organismal Injury and Abnormalities,Reproductive System Disease	Recurrent implantation failure	2.72E-02	GABRA4	1
Cellular Assembly and Organization,Cellular Function and Maintenance	Organization of intermediate filaments	2.72E-02	DES	1
Nervous System Development and Function	Nociception	2.72E-02	OPRPN	1
Endocrine System Development and Function,Protein Synthesis,Small Molecule Biochemistry	Processing of peptide hormone derivative	2.72E-02	CGA	1
Cellular Development,Connective Tissue Development and Function,Tissue Development	Differentiation of adipocytes	2.81E-02	FOSB,VSTM2A	2
Gastrointestinal Disease,Organismal Injury and Abnormalities	Obstruction of intestine	2.85E-02	EDN3,GABRA4	2
Cellular Development,Tissue Development	Maturation of bone marrow cells	2.93E-02	CSF3	1
Hematological System Development and Function,Inflammatory Response,Tissue Morphology	Quantity of neutrophils	2.93E-02	CSF3	1
Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development	Generation of female germ cells	2.93E-02	GDF9	1
Infectious Diseases	Extensively drug-resistant tuberculosis	2.93E-02	GABRA4	1
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Sleep Disorders	2.93E-02	EDN3,GABRA4	2
Organismal Injury and Abnormalities,Renal and Urological Disease	Chronic kidney disease	3.03E-02	AGTR2,CSF3,GABRA4	3
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Osteoarthritis	3.03E-02	GABRA4,NR4A1,TFPI2	3
Respiratory Disease	Respiratory distress	3.10E-02	AGTR2,GABRA4,TCN1	3
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Acute myocardial infarction	3.11E-02	AGTR2,CSF3	2
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of endothelial cells	3.11E-02	AZU1,CSF3	2
Cellular Development	Epithelial-mesenchymal transition of adenocarcinoma cell lines	3.14E-02	mir-126	1
Neurological Disease,Organismal Injury and Abnormalities	Atonic seizure	3.14E-02	GABRA4	1
Cellular Development,Cellular Growth and Proliferation,Endocrine System Development and Function	Proliferation of endocrine cell lines	3.14E-02	BRINP3	1
Organismal Survival	Survival of organism	3.15E-02	CSF3,NR4A1,TFPI2	3
Inflammatory Disease,Organismal Injury and Abnormalities,Respiratory Disease	Acute respiratory distress syndrome	3.20E-02	AGTR2,GABRA4	2
Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	Early stage diabetic nephropathy	3.20E-02	AGTR2,NR4A1	2
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Dilated cardiomyopathy	3.25E-02	AGTR2,DES,mir-126	3
Neurological Disease,Organismal Injury and Abnormalities	Epilepsia partialis continua	3.34E-02	GABRA4	1
Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	Microalbuminuria	3.34E-02	AGTR2	1
Infectious Diseases,Inflammatory Disease,Inflammatory Response,Neurological Disease	Tuberculosis meningitis	3.34E-02	GABRA4	1
Organismal Injury and Abnormalities,Psychological Disorders	Panic disorder without agoraphobia	3.34E-02	GABRA4	1
Organismal Injury and Abnormalities,Psychological Disorders	Panic disorder with agoraphobia	3.34E-02	GABRA4	1
Infectious Diseases	Disseminated tuberculosis	3.34E-02	GABRA4	1
Behavior	Locomotion	3.34E-02	NPY2R	1
Lipid Metabolism,Small Molecule Biochemistry	Homeostasis of triacylglycerol	3.34E-02	APOC3	1
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Complex insomnia	3.34E-02	GABRA4	1
Neurological Disease,Organismal Injury and Abnormalities	Acute encephalopathy	3.38E-02	AGTR2,GABRA4	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Stenosis of artery	3.38E-02	GABRA4,mir-126	2
