"Categories","Diseases or Functions Annotation","p-value","Molecules","# Molecules"
"Psychological Disorders","Impulse control disorder",3.48e-05,"CA6,CA9,DDC,GABRP,OPRK1,SCN1A",6
"Cardiovascular Disease,Organismal Injury and Abnormalities","Abnormality of heart ventricle",4.08e-05,"ACE2,ACTN2,ANKRD1,CA6,CA9,GABRP,HCN4,MMP1,OPRK1,SLC12A1",10
"Cardiovascular Disease,Organismal Injury and Abnormalities","Abnormality of left ventricle",4.18e-05,"ACE2,ACTN2,ANKRD1,CA6,CA9,GABRP,HCN4,MMP1,SLC12A1",9
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Cutaneous melanoma",4.86e-05,"A2ML1,ACE2,ACTL8,ACTN2,AMTN,ANKRD1,ART3,BPI,C18orf63,C1orf94,CA6,CASP14,CCKBR,CCL7,CDK5R2,CELF4,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CYP24A1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,GABBR2,GABRP,GGTLC2,GLDC,GNAT3,HAO1,HCN4,HORMAD1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LEMD1,LIN28B,LY6D,MAGEA3/MAGEA6,MAGEA4,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,PI3,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,S100A8,SCN1A,SFTA3,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,TRIM15,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,ZFP42,ZNF280A,ZP4",139
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Lung cancer",5.04e-05,"A2ML1,ACE2,ACTN2,AFAP1-AS1,C18orf63,C1orf94,CA9,CALCB,CCKBR,CDH1,CDH19,CHGA,CHRDL2,CT83,CYP24A1,CYP27C1,CYP2A6 (includes others),DDC,DIO1,DLK1,DLX6,DMRT1,DNER,EN1,FBN3,FETUB,FGA,FGB,FZD9,GABRP,GLDC,HAO1,HRCT1,IL36A,KCNQ2,KCNV1,KIF1A,KLHL1,KRT20,KRT38,KRT6C,LACRT,LCT,LIN28B,LINC00261,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,MMP1,MUC21,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PCDH8,PGBD5,POU4F1,PRAME,PXDNL,RAET1L,RCOR2,RGR,SCN1A,SFTPC,SH3GL3,SLC12A1,SLC26A9,SLC28A1,SLC39A12,SLIT1,SMR3A,SPANXB1 (includes others),STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,UGT2B11,ZFP42,ZP4",87
"Dermatological Diseases and Conditions,Neurological Disease,Organismal Injury and Abnormalities","Hyperalgesia",5.84e-05,"CA6,CA9,GABRP,OPRK1,SCN1A",5
"Neurological Disease,Psychological Disorders","Restless legs syndrome",5.84e-05,"CA6,CA9,DDC,OPRK1,SCN1A",5
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Lung carcinoma",5.94e-05,"A2ML1,ACE2,ACTN2,AFAP1-AS1,C18orf63,C1orf94,CA9,CALCB,CCKBR,CDH1,CDH19,CHGA,CHRDL2,CT83,CYP24A1,CYP27C1,DDC,DIO1,DLK1,DLX6,DMRT1,DNER,EN1,FBN3,FETUB,FGA,FGB,FZD9,GABRP,GLDC,HAO1,HRCT1,IL36A,KCNQ2,KCNV1,KIF1A,KLHL1,KRT20,KRT38,KRT6C,LACRT,LCT,LIN28B,LINC00261,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,MMP1,MUC21,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PCDH8,PGBD5,POU4F1,PRAME,PXDNL,RAET1L,RCOR2,RGR,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLC28A1,SLC39A12,SLIT1,SMR3A,SPANXB1 (includes others),STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,UGT2B11,ZFP42,ZP4",85
"Cancer,Organismal Injury and Abnormalities","Melanoma",6.04e-05,"A2ML1,ACE2,ACTL8,ACTN2,AMTN,ANKRD1,ART3,BPI,C18orf63,C1orf94,CA6,CASP14,CCKBR,CCL7,CDH1,CDH19,CDK5R2,CELF4,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CYP24A1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GGTLC2,GLDC,GNAT3,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LEMD1,LIN28B,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,PI3,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,RLBP1,S100A2,S100A8,SCN1A,SFTA3,SFTPC,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TMPRSS4,TRIM15,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,ZFP42,ZNF280A,ZP4",149
"Psychological Disorders","Alcoholism",6.1e-05,"CA6,CA9,CARTPT,CHRNA9,GABBR2,GABRP,OPRK1,SCN1A",8
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Disorder of hair",6.1e-05,"A2ML1,CXCL10,KRT75,KRT81,KRT83,KRT85,PADI3,S100A8",8
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Nail and hair disorder",6.75e-05,"KRT81,KRT83,KRT85",3
"Psychological Disorders","Depressive disorder",7.08e-05,"CA6,CA9,CARTPT,CCKBR,CHGA,CHRNA9,CXCL10,DDC,GABRP,GAL,OPRK1,SCN1A,SLC1A6",13
"Cardiovascular Disease,Organismal Injury and Abnormalities","Valvulopathy",7.08e-05,"ACE2,ACTN2,CA6,CA9,GABRP,MMP1,OPRK1,SLC12A1",8
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Cocaine dependence",9.88e-05,"CA6,CA9,CARTPT,OPRK1,SCN1A",5
"Neurological Disease","Sensory disorders",0.000138,"CA6,CA9,GABRP,OPRK1,PROKR2,SCN1A",6
"Psychological Disorders","Mood Disorders",0.00021,"CA6,CA9,CARTPT,CCKBR,CHGA,CHRNA9,CXCL10,DDC,FADS2,GABRP,GAL,GLDC,OPRK1,SCN1A,SLC1A6,STRA8",16
"Organismal Injury and Abnormalities,Respiratory Disease","Chronic obstructive pulmonary disease",0.000219,"CA6,CA9,CHRNA9,CYP2A6 (includes others),GABRP,LBP,MMP1,NKX2-1,OPRK1",9
"Cardiovascular Disease,Organismal Injury and Abnormalities","Aortic valve disease",0.000258,"ACE2,CA6,CA9,GABRP,MMP1,SLC12A1",6
"Developmental Disorder,Hematological Disease,Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities","Autosomal recessive congenital afibrinogenemia",0.000266,"FGA,FGB",2
"Developmental Disorder,Hematological Disease,Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities","Congenital dysfibrinogenemia",0.000266,"FGA,FGB",2
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Autosomal dominant monilethrix",0.000266,"KRT81,KRT83",2
"Lipid Metabolism,Small Molecule Biochemistry","Conjugation of 5-hydroxyeicosatetraenoic acid",0.000266,"UGT1A9 (includes others),UGT2B4",2
"Cellular Development,Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development","Differentiation of mammary gland",0.000266,"EN1,FABP7",2
"Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development","Formation of skin",0.000335,"CASP14,CDH1,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,SPRR1A",11
"Neurological Disease,Organismal Injury and Abnormalities","Focal generalized tonic clonic epilepsy",0.000351,"CA6,CA9,SCN1A",3
"Psychological Disorders","Nicotine dependence",0.000352,"CA6,CA9,CHRNA9,GABRP,SCN1A",5
"Drug Metabolism","Metabolism of xenobiotic",0.000403,"CYP2A6 (includes others),CYP2F1,SULT1C3,UGT1A6,UGT1A9 (includes others),UGT2B11",6
"Nutritional Disease,Psychological Disorders","Binge eating disorder",0.000404,"CA6,CA9,OPRK1,SCN1A",4
"Neurological Disease,Organismal Injury and Abnormalities","Basilar-type migraine",0.000429,"CA6,CA9,SCN1A",3
"Organismal Injury and Abnormalities,Psychological Disorders","Primary anxiety disorder",0.000429,"CA6,CA9,SCN1A",3
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities,Respiratory Disease","Small cell lung carcinoma",0.000445,"C18orf63,C1orf94,CALCB,CCKBR,CDH19,CHGA,CHRDL2,CT83,DDC,DLX6,DNER,FBN3,FETUB,FGA,FZD9,GLDC,HRCT1,IL36A,KLHL1,LACRT,LCT,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PGBD5,PXDNL,RGR,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLIT1,SMR3A,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,ZP4",50
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Tourette syndrome",0.000467,"CA6,CA9,OPRK1,SCN1A,SLC1A6",5
"Organismal Injury and Abnormalities,Respiratory Disease","Edema of lung",0.000496,"CA6,CA9,GABRP,SLC12A1",4
"Cardiovascular Disease,Organismal Injury and Abnormalities,Respiratory Disease","Pulmonary vascular disease",0.000514,"ANKRD1,CA6,CA9,CHRNA9,CXCL10,GABRP,SCN1A",7
"Organismal Injury and Abnormalities,Psychological Disorders","Generalized social anxiety disorder",0.000517,"CA6,CA9,SCN1A",3
"Hereditary Disorder,Nutritional Disease,Organismal Injury and Abnormalities,Psychological Disorders","Bulimia nervosa",0.000517,"CA6,CA9,SCN1A",3
"Drug Metabolism,Endocrine System Development and Function,Lipid Metabolism,Small Molecule Biochemistry","Glucuronidation of beta-estradiol",0.000529,"UGT1A9 (includes others),UGT2B28",2
"Cancer,Organismal Injury and Abnormalities","Tumorigenesis of cancer stem cells",0.000529,"GLDC,LIN28B",2
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Familial focal epilepsy",0.000534,"CA6,CA9,GAL,KCNQ2,SCN1A",5
"Psychological Disorders","Major affective disorder",0.000536,"CA6,CA9,CCKBR,CHGA,CHRNA9,CXCL10,DDC,FADS2,GABRP,GLDC,OPRK1,SCN1A,SLC1A6,STRA8",14
"Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development","Formation of epidermis",0.00057,"CASP14,KRT34,KRT83,KRT85,SPRR1A",5
"Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities","Adult-onset diabetes mellitus",0.000602,"CA6,CA9,FOXA2,SCN1A",4
"Psychological Disorders","Alcohol use disorder",0.000705,"CA6,CA9,CXCL10,GABBR2,GABRP,OPRK1,SCN1A",7
"Respiratory Disease","Sleep disordered breathing",0.000732,"CA6,CA9,DDC,GABRP,SCN1A,SLC12A1",6
"Nutritional Disease","Pediatric obesity",0.000733,"CA6,CA9,CARTPT,GABRP,SCN1A",5
"Nutritional Disease,Psychological Disorders","Eating Disorders",0.000767,"CA6,CA9,CARTPT,GABRP,OPRK1,SCN1A",6
"Neurological Disease","Injury of nervous system",0.000789,"CA6,CA9,CHGA,CHRNA9,GABBR2,GABRP,SCN1A",7
"Organismal Injury and Abnormalities,Renal and Urological Disease","Kidney stones",0.000789,"CA6,CA9,HAO1,OPRK1",4
"Auditory Disease,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Cholesteatoma formation",0.000789,"CDH19,MMP1,PI3,S100A8",4
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Abnormality of skin morphology",0.000793,"CASP14,CCL7,CDH1,CDH19,DCD,FABP7,FADS2,GAL,KRT6C,MMP1,PI3,S100A2,S100A8",13
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Hyperkeratosis",0.000826,"CDH19,KRT6C,MMP1,PI3,S100A8",5
"Cardiovascular Disease,Organismal Injury and Abnormalities","Mild aortic stenosis",0.000983,"CA6,CA9,SLC12A1",3
"Cardiovascular Disease,Organismal Injury and Abnormalities","Mild aortic regurgitation",0.000983,"CA6,CA9,SLC12A1",3
"Cardiovascular Disease,Organismal Injury and Abnormalities","Moderate aortic stenosis",0.000983,"CA6,CA9,SLC12A1",3
"Cardiovascular Disease,Organismal Injury and Abnormalities","Moderate aortic regurgitation",0.000983,"CA6,CA9,SLC12A1",3
"Metabolic Disease,Organismal Injury and Abnormalities","Metabolic alkalosis",0.000983,"CA6,CA9,SLC12A1",3
"Metabolic Disease,Organismal Injury and Abnormalities","Diabetes insipidus",0.000983,"CA6,CA9,SLC12A1",3
"Endocrine System Disorders,Organismal Injury and Abnormalities,Renal and Urological Disease","Hypercalciuria",0.00119,"CA6,CA9,HAO1,SLC12A1",4
"Neurological Disease,Organismal Injury and Abnormalities","Localization-related epilepsy",0.00119,"CA6,CA9,GABRP,GAL,KCNQ2,SCN1A",6
"Protein Synthesis","Metabolism of cellular protein",0.00119,"AMTN,CP,FGA,H3C8,MMP1,MSLN,SFTA3,SFTPC",8
"Neurological Disease,Organismal Injury and Abnormalities","Migraine with typical aura",0.00129,"CA6,CA9,SCN1A",3
"Psychological Disorders","Cigarette habituation susceptibility syndrome",0.00131,"DDC,GABBR2",2
"Organismal Injury and Abnormalities","Breakthrough pain",0.00131,"OPRK1,SCN1A",2
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Benign rolandic epilepsy",0.00138,"CA6,CA9,KCNQ2,SCN1A",4
"Molecular Transport","Secretion of molecule",0.00139,"ANKRD1,CARTPT,CHGA,FGA,FGB,FOXA2,GAL,LACRT,SLC1A6",9
"Neurological Disease,Organismal Injury and Abnormalities","Encephalopathy with late-onset epilepsy",0.00143,"CA6,CA9,GABRP,KCNQ2,SCN1A",5
"Developmental Disorder,Neurological Disease,Psychological Disorders","Aphasia",0.00146,"CA6,CA9,DDC",3
"Endocrine System Development and Function,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Metabolism of estrogen",0.00146,"UGT1A9 (includes others),UGT2B11,UGT2B4",3
"Cardiovascular Disease,Organismal Injury and Abnormalities,Renal and Urological Disease","Cardiorenal syndrome",0.00146,"CA6,CA9,SLC12A1",3
"Neurological Disease,Organismal Injury and Abnormalities","Primary tonic-clonic seizure",0.00146,"CA6,CA9,SCN1A",3
"Neurological Disease,Organismal Injury and Abnormalities","Chronic migraine",0.00146,"CA6,CA9,SCN1A",3
"Cancer,Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities","Cholangiocarcinoma",0.0017,"AFAP1-AS1,CDH1,FGA,KRT20,UGT1A6,UGT1A9 (includes others)",6
"Cardiovascular Disease,Organismal Injury and Abnormalities","Cardiovascular disorder of cardiac valve",0.00171,"CA6,CA9,GABRP,SLC12A1",4
"Cardiovascular Disease,Organismal Injury and Abnormalities","Valvular regurgitation",0.00171,"CA6,CA9,GABRP,SLC12A1",4
"Psychological Disorders","Alcohol abuse",0.00171,"CA6,CA9,OPRK1,SCN1A",4
"Respiratory Disease","Respiratory distress syndrome",0.00177,"ACE2,CHRNA9,CXCL10,GABRP,NKX2-1,SCN1A",6
"Skeletal and Muscular Disorders","Abnormality of limb",0.00179,"COL9A3,KRT81,KRT83,KRT85,MMP1,OPRK1,SCN1A",7
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Familial hemiplegic migraine",0.00182,"OPRK1,SCN1A",2
"Cardiovascular Disease,Organismal Injury and Abnormalities","Hemorrhagic shock",0.00182,"CXCL10,OPRK1",2
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Disorder of appendix",0.00183,"CHRNA9,KRT20,OPRK1,SCN1A",4
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Non-small cell lung carcinoma",0.00186,"A2ML1,ACE2,ACTN2,AFAP1-AS1,CA9,CCKBR,CDH1,CYP24A1,CYP27C1,DIO1,DLK1,DLX6,DMRT1,DNER,EN1,FGB,GABRP,GLDC,HAO1,KCNQ2,KCNV1,KIF1A,KLHL1,KRT20,KRT38,KRT6C,LCT,LIN28B,LINC00261,LUZP4,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,MMP1,MUC21,NKX2-1,NR2E1,PCDH11X,PCDH8,POU4F1,PRAME,PXDNL,RAET1L,RCOR2,SCN1A,SH3GL3,SLC28A1,SLC39A12,SPANXB1 (includes others),UGT1A9 (includes others),UGT2B11,ZFP42,ZP4",54
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Obsessive-compulsive spectrum disorder",0.00192,"CA6,CA9,CARTPT,GABRP,SCN1A",5
"Cardiovascular Disease","Resistant hypertension",0.00207,"CA6,CA9,SLC12A1",3
"Cardiovascular Disease","Vasospasm",0.00207,"CA6,CA9,SCN1A",3
"Neurological Disease,Psychological Disorders","Major depression",0.00213,"CCKBR,CHGA,CHRNA9,CXCL10,DDC,GABRP,OPRK1,SCN1A,SLC1A6",9
"Organismal Injury and Abnormalities,Renal and Urological Disease","Acute kidney injury",0.00231,"CA6,CA9,GABRP,SCN1A,SLC12A1",5
"Psychological Disorders","Borderline personality disorder",0.00237,"CA6,CA9,GABRP,SCN1A",4
"Respiratory Disease","Sleep apnea syndrome",0.00253,"CA6,CA9,DDC,GABRP,SLC12A1",5
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Pruritus",0.00254,"CCL7,CHRNA9,CXCL10,IL36A,OPRK1,S100A2",6
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Keratosis",0.00263,"CDH1,CDH19,KRT6C,MMP1,PI3,S100A8",6
"Neurological Disease","Sedation",0.00268,"CHRNA9,GABRP,OPRK1,SCN1A",4
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Female genital tract serous carcinoma",0.00269,"CDH1,CP,CRABP1,FOXA2,GAL,INA,KRT20,KRT34,KRT81,MSLN,PI3,S100A2,VGLL1",13
